day,Reps,Sets,percent,lift,workoutNumber,needsWarmups
0,10,2,0.78,squat,1,true
0,10,2,0.78,frontSquat,1,true
1,10,2,0.78,bench,1,true
1,10,2,0.78,dip,1,false
3,10,2,0.78,deadLift,1,true
3,10,2,0.78,pullUp,1,false
7,10,2,0.8,squat,2,true
7,10,2,0.8,frontSquat,2,true
8,10,2,0.8,bench,3,true
8,10,2,0.8,dip,1,false
10,10,2,0.8,deadLift,4,true
10,10,2,0.8,pullUp,4,false
14,8,2,0.82,squat,5,true
14,8,2,0.82,frontSquat,5,true
15,8,2,0.82,bench,6,true
15,8,2,0.82,dip,6,false
17,8,2,0.82,deadLift,7,true
17,8,2,0.82,pullUp,7,false
21,8,2,0.85,squat,8,true
21,8,2,0.85,frontSquat,8,true
22,8,2,0.85,bench,9,true
22,8,2,0.85,dip,9,false
24,8,2,0.85,deadLift,10,true
24,8,2,0.85,pullUp,10
28,5,2,0.87,squat,11,true
28,5,2,0.87,frontSquat,11,true
29,5,2,0.87,bench,12,true
29,5,2,0.87,dip,12,false
31,5,2,0.87,deadLift,13,true
31,5,2,0.87,pullUp,13
35,5,2,0.9,squat,14,true
35,5,2,0.9,frontSquat,14,true
36,5,2,0.9,bench,15,true
36,5,2,0.9,dip,15,false
38,5,2,0.9,deadLift,16,true
38,5,2,0.9,pullUp,16
42,5,2,0.92,squat,17,true
42,5,2,0.92,frontSquat,17,true
43,5,2,0.92,bench,18,true
43,5,2,0.92,dip,18,false
45,5,2,0.92,deadLift,19,true
45,5,2,0.92,pullUp,19
49,3,2,0.95,squat,20,true
49,3,2,0.95,frontSquat,20,true
50,3,2,0.95,bench,21,true
50,3,2,0.95,dip,21,false
52,3,2,0.95,deadLift,22,true
52,3,2,0.95,pullUp,22,false
56,3,2,0.97,squat,23,true
56,3,2,0.97,frontSquat,23,true
57,3,2,0.97,bench,24,true
57,3,2,0.97,dip,24,false
59,3,2,0.97,deadLift,25,true
59,3,2,0.97,pullUp,25,true
63,2,2,1,squat,26,true
64,2,2,1,bench,27,true
66,2,2,1,deadLift,28,true
70,2,2,1.03,squat,29,true
71,2,2,1.03,bench,30,true
73,2,2,1.03,deadLift,31,true
77,1,2,1.06,squat,32,true
78,1,2,1.06,bench,33,true
80,1,2,1.06,deadLift,12,true
84,5,2,0.75,squat,13,true
85,5,2,0.75,bench,13,true
87,0,0,0,deadLift,13,true
89,9,3,1.1,meet,1,false
